ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
805,3,4,0,2,3,6,3,9,8,106.0,0.5,1.8333333333333333,0.8055555555555557,0.8333333333333333,2.75,
868,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
893,1,2,0,0,1,2,1,3,2,52.0,0.5,1.0,0.0,0.0,1.0,
385,2,2,0,0,2,2,2,4,3,16.0,1.0,1.5,0.25,0.5,1.0,
835,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
542,3,1,0,1,3,2,3,5,4,48.0,1.5,2.5,0.25,1.0,0.875,
170,3,2,0,0,3,2,3,5,4,79.0,1.5,2.5,0.25,1.0,0.875,
187,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
4,2,1,0,0,2,1,2,3,2,28.0,2.0,2.0,0.0,1.0,0.5,
883,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
110,1,2,1,0,2,2,2,4,3,45.0,1.0,2.0,0.0,1.0,1.0,
485,2,2,0,0,2,2,2,4,3,53.0,1.0,1.5,0.25,0.5,1.0,
296,2,0,0,1,2,1,2,3,2,58.0,2.0,2.0,0.0,1.0,0.5,
196,1,4,0,3,1,7,1,8,7,264.0,0.14285714285714285,1.0,0.0,0.0,3.5,
342,2,3,0,0,2,3,2,5,4,109.0,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.5,1.5,
777,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
364,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
774,5,3,0,2,5,5,5,10,9,158.0,1.0,3.6,1.8400000000000003,1.0333333333333332,1.40625,
654,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
273,3,1,0,3,3,4,3,7,6,87.0,0.75,1.5,0.75,0.8333333333333333,1.875,
290,3,4,0,0,3,4,3,7,6,151.0,0.75,1.5,0.75,0.8333333333333333,1.875,
341,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
782,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
193,5,2,0,1,5,3,5,8,7,237.0,1.6666666666666667,3.3333333333333335,2.8888888888888893,1.0333333333333332,0.90625,
511,1,2,1,0,2,2,2,4,3,95.0,1.0,1.5,0.25,0.5,1.0,
712,6,4,0,1,6,5,6,11,10,374.0,1.2,3.4,4.24,1.0666666666666667,1.5,
224,21,26,0,7,21,33,9,54,53,765.0,0.6363636363636364,5.606060606060606,4.178145087235997,1.921101121101121,5.17578125,
869,4,4,0,0,4,4,2,8,7,133.0,1.0,2.0,0.0,1.0,2.0,
527,3,1,0,1,3,2,3,5,4,83.0,1.5,2.5,0.25,1.0,0.875,
257,2,1,0,1,2,2,2,4,3,92.0,1.0,2.0,0.0,1.0,1.0,
583,4,4,0,0,4,4,3,8,7,161.0,1.0,2.5,0.25,1.1666666666666665,1.75,
741,1,4,0,0,1,4,1,5,4,129.0,0.25,1.0,0.0,0.0,2.0,
751,2,2,0,0,2,2,2,4,3,79.0,1.0,1.5,0.25,0.5,1.0,
261,3,3,0,0,3,3,3,6,5,99.0,1.0,1.6666666666666667,0.888888888888889,0.8333333333333333,1.375,
718,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
767,8,9,0,4,8,13,4,21,20,257.0,0.6153846153846154,2.076923076923077,0.9940828402366864,1.3499999999999999,5.75,
50,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
582,1,2,0,0,1,2,1,3,2,10.0,0.5,1.0,0.0,0.0,1.0,
502,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
597,3,0,0,1,3,1,3,4,3,127.0,3.0,3.0,0.0,1.5,0.375,
352,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
427,1,2,0,1,1,3,1,4,3,195.0,0.3333333333333333,1.0,0.0,0.0,1.5,
375,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
581,1,1,0,1,1,2,1,3,2,83.0,0.5,1.0,0.0,0.0,1.0,
800,2,0,0,2,2,2,2,4,3,39.0,1.0,1.5,0.25,0.5,1.0,
328,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
270,1,1,0,1,1,2,1,3,2,13.0,0.5,1.0,0.0,0.0,1.0,
154,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
67,2,7,0,1,2,8,2,10,9,178.0,0.25,1.25,0.1875,0.5,4.0,
227,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
817,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
420,1,2,0,0,1,2,1,3,2,12.0,0.5,1.0,0.0,0.0,1.0,
6,2,1,0,2,2,3,2,5,4,82.0,0.6666666666666666,2.0,0.0,1.0,1.5,
729,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
340,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
687,1,1,1,1,2,2,2,4,3,23.0,1.0,2.0,0.0,1.0,1.0,
443,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
875,8,10,0,6,8,16,6,24,23,751.0,0.5,2.75,3.5625,1.1023809523809525,6.03125,
823,3,1,0,1,3,2,3,5,4,187.0,1.5,2.0,1.0,0.8333333333333333,0.875,
682,8,10,2,1,10,11,7,21,20,240.0,0.9090909090909091,3.6363636363636362,3.6859504132231407,1.2912698412698411,3.3359375,
671,1,3,0,0,1,3,1,4,3,26.0,0.3333333333333333,1.0,0.0,0.0,1.5,
871,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
258,4,3,0,2,4,5,3,9,8,322.0,0.8,2.4,0.24,0.8333333333333333,2.25,
724,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
145,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
163,2,1,0,1,2,2,2,4,3,46.0,1.0,1.5,0.25,0.5,1.0,
548,3,5,0,2,3,7,2,10,9,256.0,0.42857142857142855,1.4285714285714286,0.24489795918367346,0.6666666666666666,3.5,
9,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
111,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
72,4,1,0,2,4,3,4,7,6,315.0,1.3333333333333333,3.3333333333333335,0.22222222222222224,1.3333333333333333,1.0,
816,2,4,0,0,2,4,2,6,5,92.0,0.5,2.0,0.0,1.0,2.0,
175,2,0,0,1,2,1,2,3,2,49.0,2.0,2.0,0.0,1.0,0.5,
493,5,6,0,0,5,6,4,11,10,310.0,0.8333333333333334,2.3333333333333335,0.8888888888888888,1.1666666666666665,2.625,
451,7,3,0,0,7,3,7,10,9,164.0,2.3333333333333335,4.666666666666667,4.222222222222222,1.2333333333333334,0.7109375,
359,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
709,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
34,5,3,0,1,5,4,4,9,8,263.0,1.25,3.5,0.75,1.4999999999999998,1.25,
821,1,2,0,0,1,2,1,3,2,159.0,0.5,1.0,0.0,0.0,1.0,
28,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
837,1,1,0,1,1,2,1,3,2,6.0,0.5,1.0,0.0,0.0,1.0,
151,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
783,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
905,2,2,0,0,2,2,2,4,3,71.0,1.0,2.0,0.0,1.0,1.0,
846,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
26,8,7,0,2,8,9,6,17,16,482.0,0.8888888888888888,3.0,1.5555555555555556,1.2690476190476192,3.46875,
807,7,9,0,2,7,11,4,18,17,277.0,0.6363636363636364,2.5454545454545454,0.793388429752066,1.1833333333333331,4.5,
119,2,1,0,0,2,1,2,3,2,37.0,2.0,2.0,0.0,1.0,0.5,
371,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
562,1,1,0,1,1,2,1,3,2,2.0,0.5,1.0,0.0,0.0,1.0,
92,3,1,0,0,3,1,3,4,3,19.0,3.0,3.0,0.0,1.5,0.375,
625,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
68,5,7,0,2,5,9,4,14,13,380.0,0.5555555555555556,2.6666666666666665,0.4444444444444444,1.1666666666666665,3.75,
177,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
318,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
752,3,2,0,1,3,3,3,6,5,129.0,1.0,2.3333333333333335,0.22222222222222224,1.0,1.375,
395,0,1,1,1,1,2,1,3,2,2.0,0.5,1.0,0.0,0.0,1.0,
515,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
553,2,1,0,1,2,2,2,4,3,71.0,1.0,2.0,0.0,1.0,1.0,
571,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
42,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
486,2,1,0,0,2,1,2,3,2,20.0,2.0,2.0,0.0,1.0,0.5,
329,2,1,0,0,2,1,2,3,2,10.0,2.0,2.0,0.0,1.0,0.5,
587,2,2,0,1,2,3,2,5,4,107.0,0.6666666666666666,2.0,0.0,1.0,1.5,
96,3,2,0,0,3,2,2,5,4,36.0,1.5,2.0,0.0,0.6666666666666666,1.0,
389,3,1,0,0,3,1,3,4,3,58.0,3.0,3.0,0.0,1.5,0.375,
498,1,1,0,1,1,2,1,3,2,74.0,0.5,1.0,0.0,0.0,1.0,
673,1,1,0,1,1,2,1,3,2,15.0,0.5,1.0,0.0,0.0,1.0,
387,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
221,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
217,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
505,10,4,0,4,10,8,7,18,17,254.0,1.25,4.0,4.0,1.4119047619047618,2.2109375,
856,2,2,0,2,2,4,2,6,5,270.0,0.5,1.5,0.25,0.5,2.0,
208,2,0,0,1,2,1,2,3,2,33.0,2.0,2.0,0.0,1.0,0.5,
181,1,2,0,1,1,3,1,4,3,117.0,0.3333333333333333,1.0,0.0,0.0,1.5,
612,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
73,4,0,0,2,4,2,4,6,5,151.0,2.0,3.5,0.25,1.3333333333333333,0.625,
701,3,1,0,0,3,1,3,4,3,69.0,3.0,3.0,0.0,1.5,0.375,
146,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
209,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
496,2,2,0,0,2,2,2,4,3,41.0,1.0,1.5,0.25,0.5,1.0,
69,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
220,6,2,0,2,6,4,5,10,9,171.0,1.5,2.25,2.6875,1.0333333333333332,1.65625,
426,1,2,0,0,1,2,1,3,2,76.0,0.5,1.0,0.0,0.0,1.0,
859,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
604,2,2,0,1,2,3,2,5,4,130.0,0.6666666666666666,2.0,0.0,1.0,1.5,
79,1,3,0,0,1,3,1,4,3,36.0,0.3333333333333333,1.0,0.0,0.0,1.5,
603,3,1,0,1,3,2,3,5,4,131.0,1.5,2.0,1.0,0.8333333333333333,0.875,
292,1,3,0,0,1,3,1,4,3,63.0,0.3333333333333333,1.0,0.0,0.0,1.5,
918,2,2,0,0,2,2,2,4,3,133.0,1.0,1.5,0.25,0.5,1.0,
414,2,1,0,1,2,2,2,4,3,49.0,1.0,1.5,0.25,0.5,1.0,
394,1,2,0,0,1,2,1,3,2,15.0,0.5,1.0,0.0,0.0,1.0,
507,1,2,0,1,1,3,1,4,3,56.0,0.3333333333333333,1.0,0.0,0.0,1.5,
183,3,5,0,0,3,5,3,8,7,93.0,0.6,1.8,0.56,0.8333333333333333,2.375,
642,1,1,1,0,2,1,2,3,2,8.0,2.0,2.0,0.0,1.0,0.5,
787,1,2,0,0,1,2,1,3,2,5.0,0.5,1.0,0.0,0.0,1.0,
519,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
678,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
576,1,2,0,0,1,2,1,3,2,38.0,0.5,1.0,0.0,0.0,1.0,
295,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
858,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
525,9,6,0,2,9,8,7,17,16,315.0,1.125,3.5,4.5,1.4928571428571427,2.5546875,
332,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
895,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
472,0,1,1,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
686,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
140,2,2,0,1,2,3,2,5,4,173.0,0.6666666666666666,1.6666666666666667,0.2222222222222222,0.5,1.5,
779,0,2,1,0,1,2,1,3,2,18.0,0.5,1.0,0.0,0.0,1.0,
277,1,2,0,0,1,2,1,3,2,11.0,0.5,1.0,0.0,0.0,1.0,
705,2,2,1,0,3,2,3,5,4,190.0,1.5,2.5,0.25,1.0,0.875,
892,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
207,4,6,0,1,4,7,4,11,10,121.0,0.5714285714285714,1.7142857142857142,1.0612244897959182,0.9166666666666665,3.25,
768,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
773,5,4,0,3,5,7,3,12,11,101.0,0.7142857142857143,1.5714285714285714,0.5306122448979591,1.0833333333333333,3.375,
250,10,5,0,2,10,7,8,17,16,507.0,1.4285714285714286,6.285714285714286,5.346938775510203,1.4119047619047618,0.8359375,
683,2,1,0,0,2,1,2,3,2,141.0,2.0,2.0,0.0,1.0,0.5,
363,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
83,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
900,1,2,0,0,1,2,1,3,2,35.0,0.5,1.0,0.0,0.0,1.0,
806,2,1,1,1,3,2,3,5,4,100.0,1.5,2.0,1.0,0.8333333333333333,0.875,
291,1,2,0,1,1,3,1,4,3,136.0,0.3333333333333333,1.0,0.0,0.0,1.5,
863,1,3,0,0,1,3,1,4,3,40.0,0.3333333333333333,1.0,0.0,0.0,1.5,
308,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
241,1,1,0,1,1,2,1,3,2,9.0,0.5,1.0,0.0,0.0,1.0,
897,2,3,0,0,2,3,2,5,4,79.0,0.6666666666666666,1.6666666666666667,0.2222222222222222,0.5,1.5,
334,2,2,0,0,2,2,2,4,3,70.0,1.0,1.5,0.25,0.5,1.0,
793,1,1,0,1,1,2,1,3,2,65.0,0.5,1.0,0.0,0.0,1.0,
794,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
745,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
565,6,2,0,3,6,5,4,11,10,124.0,1.2,3.4,0.24,1.4166666666666665,1.625,
326,2,1,0,1,2,2,2,4,3,7.0,1.0,1.5,0.25,0.5,1.0,
786,2,1,0,1,2,2,2,4,3,19.0,1.0,1.5,0.25,0.5,1.0,
717,2,1,0,0,2,1,2,3,2,34.0,2.0,2.0,0.0,1.0,0.5,
56,8,3,0,3,8,6,6,14,13,493.0,1.3333333333333333,4.5,1.9166666666666667,1.3023809523809524,1.34375,
727,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
90,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
539,2,1,0,0,2,1,2,3,2,16.0,2.0,2.0,0.0,1.0,0.5,
531,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
904,3,3,0,0,3,3,3,6,5,210.0,1.0,2.6666666666666665,0.22222222222222224,1.0,1.25,
38,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
551,2,1,0,0,2,1,2,3,2,9.0,2.0,2.0,0.0,1.0,0.5,
815,2,4,1,1,3,5,2,8,7,123.0,0.6,1.4,0.24,0.6666666666666666,2.5,
619,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
120,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
762,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
545,3,2,1,1,4,3,4,7,6,298.0,1.3333333333333333,2.6666666666666665,1.5555555555555554,0.9166666666666665,1.125,
