ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
27,1,2,0,1,1,3,1,4,3,28.0,0.3333333333333333,1.0,0.0,0.0,1.5,
566,2,5,0,1,2,6,2,8,7,145.0,0.3333333333333333,1.1666666666666667,0.13888888888888887,0.5,3.0,
125,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
490,0,1,1,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
160,2,0,1,2,3,2,3,5,4,74.0,1.5,2.5,0.25,1.0,0.875,
398,2,1,0,4,2,5,2,7,6,61.0,0.4,1.4,0.24,0.5,2.5,
493,2,0,0,4,2,4,2,6,5,64.0,0.5,1.25,0.1875,0.5,2.0,
615,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
51,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
669,1,0,0,5,1,5,1,6,5,100.0,0.2,1.0,0.0,0.0,2.5,
32,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
58,0,1,1,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
637,1,1,1,1,2,2,2,4,3,23.0,1.0,2.0,0.0,1.0,1.0,
6,1,2,1,0,2,2,2,4,3,80.0,1.0,1.5,0.25,0.5,1.0,
107,1,1,0,2,1,3,1,4,3,58.0,0.3333333333333333,1.0,0.0,0.0,1.5,
18,1,1,0,1,1,2,1,3,2,15.0,0.5,1.0,0.0,0.0,1.0,
463,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
606,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
422,3,1,0,1,3,2,3,5,4,90.0,1.5,3.0,0.0,1.5,0.75,
475,4,2,0,3,4,5,3,9,8,196.0,0.8,2.0,0.8,1.1666666666666665,2.25,
118,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
670,1,0,0,2,1,2,1,3,2,30.0,0.5,1.0,0.0,0.0,1.0,
581,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
541,4,1,0,2,4,3,4,7,6,226.0,1.3333333333333333,2.3333333333333335,1.5555555555555556,0.9166666666666665,1.25,
128,1,1,0,2,1,3,1,4,3,10.0,0.3333333333333333,1.0,0.0,0.0,1.5,
444,11,3,4,15,15,18,7,33,32,395.0,0.8333333333333334,4.444444444444445,2.0246913580246915,1.788095238095238,4.1796875,
256,2,1,0,1,2,2,2,4,3,30.0,1.0,1.5,0.25,0.5,1.0,
521,2,1,0,1,2,2,2,4,3,21.0,1.0,1.5,0.25,0.5,1.0,
687,34,23,3,37,37,60,10,97,96,861.0,0.6166666666666667,7.333333333333333,4.78888888888889,3.7061688311688314,5.20703125,
609,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
124,1,1,1,1,2,2,2,4,3,127.0,1.0,2.0,0.0,1.0,1.0,
683,2,0,0,2,2,2,2,4,3,11.0,1.0,1.5,0.25,0.5,1.0,
196,2,0,0,1,2,1,2,3,2,14.0,2.0,2.0,0.0,1.0,0.5,
126,3,1,1,1,4,2,4,6,5,92.0,2.0,3.5,0.25,1.3333333333333333,0.625,
91,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
450,2,2,0,0,2,2,2,4,3,39.0,1.0,1.5,0.25,0.5,1.0,
255,2,1,0,2,2,3,2,5,4,70.0,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.5,1.5,
677,4,0,0,4,4,4,4,8,7,128.0,1.0,2.5,1.25,0.9166666666666666,1.625,
82,1,0,1,2,2,2,2,4,3,47.0,1.0,2.0,0.0,1.0,1.0,
452,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
172,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
407,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
367,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
691,1,1,0,2,1,3,1,4,3,31.0,0.3333333333333333,1.0,0.0,0.0,1.5,
144,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
48,2,0,0,2,2,2,2,4,3,43.0,1.0,2.0,0.0,1.0,1.0,
202,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
368,2,0,0,2,2,2,2,4,3,54.0,1.0,1.5,0.25,0.5,1.0,
678,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
573,6,8,0,4,6,12,3,18,17,381.0,0.5,1.8333333333333333,0.9722222222222223,1.0999999999999999,5.375,
376,5,4,0,3,5,7,4,12,11,209.0,0.7142857142857143,3.4285714285714284,0.5306122448979592,1.1666666666666665,2.25,
580,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
577,2,1,0,2,2,3,2,5,4,37.0,0.6666666666666666,1.6666666666666667,0.2222222222222222,0.5,1.5,
28,0,0,1,2,1,2,1,3,2,0.0,0.5,1.0,0.0,0.0,1.0,
387,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
522,2,2,1,2,3,4,3,7,6,222.0,0.75,3.0,0.0,1.5,1.5,
485,1,1,1,0,2,1,2,3,2,11.0,2.0,2.0,0.0,1.0,0.5,
213,4,1,0,7,4,8,4,12,11,107.0,0.5,2.75,1.4375,0.9166666666666665,3.0,
243,6,7,0,9,6,16,4,22,21,273.0,0.375,2.875,0.609375,1.4166666666666665,6.125,
629,6,5,0,2,6,7,5,13,12,173.0,0.8571428571428571,2.7142857142857144,1.63265306122449,1.0333333333333332,2.78125,
437,1,1,0,1,1,2,1,3,2,48.0,0.5,1.0,0.0,0.0,1.0,
201,1,1,0,1,1,2,1,3,2,4.0,0.5,1.0,0.0,0.0,1.0,
482,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
302,13,10,2,10,15,20,5,35,34,412.0,0.75,3.25,1.7875,2.0392857142857146,6.78125,
99,1,2,0,0,1,2,1,3,2,41.0,0.5,1.0,0.0,0.0,1.0,
627,3,3,0,1,3,4,3,7,6,112.0,0.75,2.5,0.25,1.0,1.75,
423,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
88,1,1,0,3,1,4,1,5,4,21.0,0.25,1.0,0.0,0.0,2.0,
46,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
537,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
622,1,1,0,2,1,3,1,4,3,39.0,0.3333333333333333,1.0,0.0,0.0,1.5,
294,16,6,0,10,16,16,8,32,31,412.0,1.0,5.1875,2.90234375,1.9876984126984127,2.875,
169,1,1,1,0,2,1,2,3,2,44.0,2.0,2.0,0.0,1.0,0.5,
109,2,1,0,0,2,1,2,3,2,22.0,2.0,2.0,0.0,1.0,0.5,
260,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
608,2,2,0,0,2,2,2,4,3,55.0,1.0,1.5,0.25,0.5,1.0,
131,3,3,0,1,3,4,2,7,6,61.0,0.75,1.5,0.25,0.6666666666666666,2.0,
321,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
592,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
90,2,1,0,2,2,3,2,5,4,78.0,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.5,1.5,
150,5,1,2,5,7,6,6,13,12,244.0,1.1666666666666667,4.666666666666667,0.5555555555555555,1.6166666666666665,1.15625,
199,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
513,3,1,0,4,3,5,2,8,7,94.0,0.6,1.6,0.24,0.6666666666666666,2.5,
286,5,1,0,2,5,3,5,8,7,68.0,1.6666666666666667,2.3333333333333335,3.555555555555556,1.0333333333333332,1.15625,
157,3,2,0,1,3,3,3,6,5,78.0,1.0,2.0,0.6666666666666666,0.8333333333333333,1.375,
478,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
486,2,0,0,3,2,3,2,5,4,61.0,0.6666666666666666,2.0,0.0,1.0,1.5,
419,1,2,0,1,1,3,1,4,3,18.0,0.3333333333333333,1.0,0.0,0.0,1.5,
209,1,0,0,3,1,3,1,4,3,20.0,0.3333333333333333,1.0,0.0,0.0,1.5,
571,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
563,1,0,0,2,1,2,1,3,2,21.0,0.5,1.0,0.0,0.0,1.0,
548,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
383,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
362,3,1,0,1,3,2,2,5,4,16.0,1.5,2.0,0.0,0.6666666666666666,1.0,
262,3,2,1,3,4,5,4,9,8,119.0,0.8,2.8,0.96,1.1666666666666665,2.0,
205,7,3,1,8,8,11,6,19,18,326.0,0.7272727272727273,4.363636363636363,2.231404958677686,1.4333333333333333,2.5,
